gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   64s   
   2 games  +0 =1 -1   -191 Elo +/- 834   73s   
   3 games  +0 =1 -2   -280 Elo +/- 777   80s   
   4 games  +1 =1 -2   -89 Elo +/- 911   83s   
   5 games  +1 =2 -2   -70 Elo +/- 308   94s   
   6 games  +1 =3 -2   -58 Elo +/- 227   94s   
   7 games  +2 =3 -2   -0 Elo +/- 220   100s   
   8 games  +2 =4 -2   -0 Elo +/- 186   108s   
   9 games  +2 =5 -2   -0 Elo +/- 162   119s   
  10 games  +3 =5 -2   +35 Elo +/- 164   124s   
  11 games  +4 =5 -2   +64 Elo +/- 164   127s   
  12 games  +5 =5 -2   +89 Elo +/- 165   140s   
  13 games  +6 =5 -2   +110 Elo +/- 165   143s   
  14 games  +6 =6 -2   +102 Elo +/- 149   147s   
  15 games  +6 =6 -3   +70 Elo +/- 146   166s   
  16 games  +7 =6 -3   +89 Elo +/- 146   166s   
  17 games  +7 =6 -4   +62 Elo +/- 142   180s   
  18 games  +7 =7 -4   +58 Elo +/- 133   181s   
  19 games  +8 =7 -4   +74 Elo +/- 132   191s   
  20 games  +9 =7 -4   +89 Elo +/- 132   196s   
  21 games  +9 =8 -4   +84 Elo +/- 124   198s   
  22 games  +9 =9 -4   +80 Elo +/- 117   218s   
  23 games  +9 =10 -4   +77 Elo +/- 111   220s   
  24 games  +10 =10 -4   +89 Elo +/- 111   223s   
  25 games  +11 =10 -4   +100 Elo +/- 111   238s   
  26 games  +12 =10 -4   +110 Elo +/- 111   241s   
  27 games  +12 =11 -4   +106 Elo +/- 106   249s   
  28 games  +13 =11 -4   +116 Elo +/- 106   266s   
  29 games  +13 =12 -4   +112 Elo +/- 102   267s   
  30 games  +14 =12 -4   +120 Elo +/- 102   271s   
  31 games  +15 =12 -4   +129 Elo +/- 102   286s   
  32 games  +15 =13 -4   +124 Elo +/- 98   286s   
  33 games  +16 =13 -4   +132 Elo +/- 98   295s   
  34 games  +16 =14 -4   +128 Elo +/- 94   312s   
  35 games  +17 =14 -4   +136 Elo +/- 94   320s   
  36 games  +17 =15 -4   +131 Elo +/- 91   323s   
  37 games  +18 =15 -4   +138 Elo +/- 91   331s   
  38 games  +18 =16 -4   +134 Elo +/- 88   337s   
  39 games  +19 =16 -4   +141 Elo +/- 88   342s   
  40 games  +19 =16 -5   +127 Elo +/- 87   342s   
  41 games  +19 =17 -5   +124 Elo +/- 85   347s   
  42 games  +19 =18 -5   +120 Elo +/- 82   359s   
  43 games  +19 =19 -5   +117 Elo +/- 80   362s   
  44 games  +20 =19 -5   +123 Elo +/- 80   364s   
  45 games  +20 =20 -5   +120 Elo +/- 78   375s   
  46 games  +21 =20 -5   +126 Elo +/- 78   383s   
  47 games  +21 =21 -5   +123 Elo +/- 76   385s   
  48 games  +22 =21 -5   +129 Elo +/- 76   391s   
  49 games  +22 =22 -5   +126 Elo +/- 74   399s   
  50 games  +22 =23 -5   +123 Elo +/- 72   401s   
  51 games  +23 =23 -5   +128 Elo +/- 72   418s   
  52 games  +23 =24 -5   +125 Elo +/- 71   420s   
  53 games  +23 =24 -6   +116 Elo +/- 71   426s   
  54 games  +24 =24 -6   +120 Elo +/- 71   436s   
  55 games  +24 =25 -6   +118 Elo +/- 69   444s   
  56 games  +24 =26 -6   +116 Elo +/- 68   452s   
  57 games  +25 =26 -6   +120 Elo +/- 68   458s   
  58 games  +25 =27 -6   +118 Elo +/- 67   466s   
  59 games  +25 =28 -6   +116 Elo +/- 65   467s   
  60 games  +26 =28 -6   +120 Elo +/- 65   476s   
  61 games  +26 =29 -6   +118 Elo +/- 64   484s   
  62 games  +27 =29 -6   +123 Elo +/- 64   489s   
  63 games  +28 =29 -6   +127 Elo +/- 64   503s   
  64 games  +28 =29 -7   +118 Elo +/- 64   508s   
  65 games  +29 =29 -7   +122 Elo +/- 64   510s   
  66 games  +30 =29 -7   +126 Elo +/- 64   518s   
  67 games  +31 =29 -7   +130 Elo +/- 64   526s   
  68 games  +31 =30 -7   +128 Elo +/- 63   536s   
  69 games  +31 =31 -7   +126 Elo +/- 62   537s   
  70 games  +31 =32 -7   +124 Elo +/- 61   539s   
  71 games  +31 =33 -7   +122 Elo +/- 60   554s   
  72 games  +31 =33 -8   +115 Elo +/- 60   558s   
  73 games  +32 =33 -8   +119 Elo +/- 60   561s   
  74 games  +33 =33 -8   +122 Elo +/- 60   574s   
  75 games  +33 =34 -8   +120 Elo +/- 59   578s   
  76 games  +33 =34 -9   +114 Elo +/- 59   581s   
  77 games  +33 =35 -9   +112 Elo +/- 58   603s   
  78 games  +33 =36 -9   +110 Elo +/- 57   607s   
  79 games  +34 =36 -9   +114 Elo +/- 57   609s   
  80 games  +35 =36 -9   +117 Elo +/- 57   617s   
  81 games  +36 =36 -9   +120 Elo +/- 57   624s   
  82 games  +37 =36 -9   +124 Elo +/- 57   624s   
  83 games  +37 =37 -9   +122 Elo +/- 57   630s   
  84 games  +37 =38 -9   +120 Elo +/- 56   632s   
  85 games  +37 =39 -9   +119 Elo +/- 55   643s   
  86 games  +37 =40 -9   +117 Elo +/- 54   644s   
  87 games  +37 =41 -9   +116 Elo +/- 54   651s   
  88 games  +37 =42 -9   +115 Elo +/- 53   657s   
  89 games  +38 =42 -9   +117 Elo +/- 53   664s   
  90 games  +38 =43 -9   +116 Elo +/- 52   672s   
  91 games  +38 =43 -10   +110 Elo +/- 52   679s   
  92 games  +38 =44 -10   +109 Elo +/- 52   686s   
  93 games  +38 =45 -10   +108 Elo +/- 51   697s   
  94 games  +38 =45 -11   +103 Elo +/- 51   704s   
  95 games  +39 =45 -11   +106 Elo +/- 51   706s   
