gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
   1 games  +0 =0 -1   -1600 Elo +/- 0   69s   
   2 games  +1 =0 -1   -0 Elo +/- 1600   71s   
   3 games  +2 =0 -1   +120 Elo +/- 963   73s   
   4 games  +3 =0 -1   +191 Elo +/- 863   87s   
   5 games  +3 =1 -1   +147 Elo +/- 854   93s   
   6 games  +3 =2 -1   +120 Elo +/- 335   93s   
   7 games  +3 =3 -1   +102 Elo +/- 234   98s   
   8 games  +3 =4 -1   +89 Elo +/- 190   112s   
   9 games  +4 =4 -1   +120 Elo +/- 195   116s   
  10 games  +4 =4 -2   +70 Elo +/- 186   117s   
  11 games  +4 =5 -2   +64 Elo +/- 164   127s   
  12 games  +4 =6 -2   +58 Elo +/- 148   130s   
  13 games  +4 =7 -2   +54 Elo +/- 135   133s   
  14 games  +5 =7 -2   +76 Elo +/- 136   139s   
  15 games  +6 =7 -2   +95 Elo +/- 137   145s   
  16 games  +6 =7 -3   +66 Elo +/- 135   160s   
  17 games  +6 =7 -4   +41 Elo +/- 133   162s   
  18 games  +7 =7 -4   +58 Elo +/- 133   167s   
  19 games  +7 =8 -4   +55 Elo +/- 125   171s   
  20 games  +7 =8 -5   +35 Elo +/- 123   184s   
  21 games  +7 =9 -5   +33 Elo +/- 117   201s   
  22 games  +7 =10 -5   +32 Elo +/- 111   201s   
  23 games  +7 =11 -5   +30 Elo +/- 106   203s   
  24 games  +8 =11 -5   +44 Elo +/- 106   214s   
  25 games  +9 =11 -5   +56 Elo +/- 106   219s   
  26 games  +9 =12 -5   +54 Elo +/- 101   219s   
  27 games  +10 =12 -5   +65 Elo +/- 101   233s   
  28 games  +11 =12 -5   +76 Elo +/- 101   247s   
  29 games  +11 =13 -5   +73 Elo +/- 97   247s   
  30 games  +11 =13 -6   +58 Elo +/- 96   250s   
  31 games  +12 =13 -6   +68 Elo +/- 96   261s   
  32 games  +13 =13 -6   +77 Elo +/- 96   268s   
  33 games  +13 =13 -7   +64 Elo +/- 95   283s   
  34 games  +14 =13 -7   +73 Elo +/- 95   284s   
  35 games  +15 =13 -7   +81 Elo +/- 95   285s   
  36 games  +16 =13 -7   +89 Elo +/- 95   302s   
  37 games  +16 =13 -8   +76 Elo +/- 94   305s   
  38 games  +17 =13 -8   +84 Elo +/- 93   307s   
  39 games  +17 =14 -8   +82 Elo +/- 91   312s   
  40 games  +17 =15 -8   +80 Elo +/- 88   319s   
  41 games  +17 =16 -8   +78 Elo +/- 86   323s   
  42 games  +18 =16 -8   +84 Elo +/- 86   327s   
  43 games  +18 =17 -8   +82 Elo +/- 83   336s   
  44 games  +18 =18 -8   +80 Elo +/- 81   342s   
  45 games  +18 =19 -8   +79 Elo +/- 79   344s   
  46 games  +18 =20 -8   +77 Elo +/- 77   348s   
  47 games  +19 =20 -8   +83 Elo +/- 77   361s   
  48 games  +20 =20 -8   +89 Elo +/- 77   362s   
  49 games  +21 =20 -8   +94 Elo +/- 77   363s   
  50 games  +22 =20 -8   +100 Elo +/- 77   376s   
  51 games  +22 =21 -8   +98 Elo +/- 75   377s   
  52 games  +23 =21 -8   +103 Elo +/- 75   383s   
  53 games  +23 =22 -8   +101 Elo +/- 74   393s   
  54 games  +24 =22 -8   +106 Elo +/- 74   397s   
  55 games  +25 =22 -8   +111 Elo +/- 73   403s   
  56 games  +26 =22 -8   +116 Elo +/- 73   413s   
  57 games  +26 =23 -8   +114 Elo +/- 72   415s   
  58 games  +27 =23 -8   +118 Elo +/- 72   415s   
  59 games  +27 =24 -8   +116 Elo +/- 70   431s   
  60 games  +27 =25 -8   +114 Elo +/- 69   431s   
  61 games  +28 =25 -8   +118 Elo +/- 69   436s   
  62 games  +28 =25 -9   +110 Elo +/- 69   440s   
  63 games  +29 =25 -9   +114 Elo +/- 69   452s   
  64 games  +29 =26 -9   +112 Elo +/- 68   456s   
  65 games  +29 =27 -9   +110 Elo +/- 66   457s   
  66 games  +29 =28 -9   +109 Elo +/- 65   472s   
  67 games  +30 =28 -9   +113 Elo +/- 65   475s   
  68 games  +31 =28 -9   +117 Elo +/- 65   489s   
  69 games  +32 =28 -9   +120 Elo +/- 65   490s   
  70 games  +32 =29 -9   +119 Elo +/- 64   490s   
  71 games  +32 =29 -10   +111 Elo +/- 64   505s   
  72 games  +33 =29 -10   +115 Elo +/- 64   505s   
