gauntlet: agent@engine vs agent@checkpoints/item5 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   133s      mean=0.500 LLR=+0.00 [CONTINUE]
   2 games  +1 =1 -0   +191 Elo +/- 834   3fold=1 (50%)   137s      mean=0.750 LLR=+0.09 [CONTINUE]
   3 games  +1 =1 -1   -0 Elo +/- 561   3fold=1 (33%)   141s      mean=0.500 LLR=-0.00 [CONTINUE]
   4 games  +1 =2 -1   -0 Elo +/- 297   3fold=2 (50%)   166s      mean=0.500 LLR=-0.00 [CONTINUE]
   5 games  +1 =3 -1   -0 Elo +/- 217   3fold=2 (40%)   168s      mean=0.500 LLR=-0.00 [CONTINUE]
   6 games  +1 =4 -1   -0 Elo +/- 174   3fold=2 (33%)   170s      mean=0.500 LLR=-0.00 [CONTINUE]
   7 games  +1 =4 -2   -50 Elo +/- 185   3fold=2 (29%)   197s      mean=0.429 LLR=-0.06 [CONTINUE]
   8 games  +1 =4 -3   -89 Elo +/- 190   3fold=2 (25%)   200s      mean=0.375 LLR=-0.11 [CONTINUE]
   9 games  +1 =5 -3   -79 Elo +/- 163   3fold=2 (22%)   207s      mean=0.389 LLR=-0.12 [CONTINUE]
  10 games  +1 =6 -3   -70 Elo +/- 143   3fold=3 (30%)   227s      mean=0.400 LLR=-0.14 [CONTINUE]
  11 games  +2 =6 -3   -32 Elo +/- 147   3fold=3 (27%)   229s      mean=0.455 LLR=-0.06 [CONTINUE]
  12 games  +2 =7 -3   -29 Elo +/- 133   3fold=4 (33%)   236s      mean=0.458 LLR=-0.06 [CONTINUE]
  13 games  +2 =8 -3   -27 Elo +/- 122   3fold=5 (38%)   266s      mean=0.462 LLR=-0.07 [CONTINUE]
  14 games  +2 =8 -4   -50 Elo +/- 124   3fold=5 (36%)   269s      mean=0.429 LLR=-0.12 [CONTINUE]
  15 games  +3 =8 -4   -23 Elo +/- 125   3fold=5 (33%)   271s      mean=0.467 LLR=-0.06 [CONTINUE]
