teams: 200
  team 1/200  games=22  distinct FENs=22
  team 2/200  games=44  distinct FENs=38
  team 3/200  games=66  distinct FENs=54
  team 4/200  games=88  distinct FENs=67
  team 5/200  games=110  distinct FENs=77
  team 6/200  games=132  distinct FENs=91
  team 7/200  games=154  distinct FENs=100
  team 8/200  games=176  distinct FENs=102
  team 9/200  games=198  distinct FENs=105
  team 10/200  games=220  distinct FENs=108
  team 11/200  games=242  distinct FENs=116
  team 12/200  games=264  distinct FENs=124
  team 13/200  games=286  distinct FENs=130
  team 14/200  games=308  distinct FENs=133
  team 15/200  games=330  distinct FENs=144
  team 16/200  games=352  distinct FENs=151
  team 17/200  games=374  distinct FENs=161
  team 18/200  games=396  distinct FENs=163
  team 19/200  games=418  distinct FENs=168
  team 20/200  games=440  distinct FENs=173
  team 21/200  games=462  distinct FENs=177
  team 22/200  games=484  distinct FENs=180
  team 23/200  games=506  distinct FENs=185
  team 24/200  games=528  distinct FENs=190
  team 25/200  games=550  distinct FENs=191
  team 26/200  games=572  distinct FENs=198
  team 27/200  games=594  distinct FENs=201
  team 28/200  games=616  distinct FENs=206
  team 29/200  games=638  distinct FENs=216
  team 30/200  games=660  distinct FENs=216
  team 31/200  games=682  distinct FENs=222
  team 32/200  games=704  distinct FENs=225
   game 016a326d failed: 'charmap' codec can't encode character '\u03c0' in position 3954: character maps to <undefined>
  team 33/200  games=725  distinct FENs=228
  team 34/200  games=747  distinct FENs=228
  team 35/200  games=769  distinct FENs=230
  team 36/200  games=791  distinct FENs=234
  team 37/200  games=813  distinct FENs=235
  team 38/200  games=835  distinct FENs=239
  team 39/200  games=857  distinct FENs=239
  team 40/200  games=879  distinct FENs=244
  team 41/200  games=901  distinct FENs=248
  team 42/200  games=923  distinct FENs=250
  team 43/200  games=945  distinct FENs=253
  team 44/200  games=967  distinct FENs=254
  team 45/200  games=989  distinct FENs=256
  team 46/200  games=1011  distinct FENs=258
  team 47/200  games=1033  distinct FENs=258
  team 48/200  games=1055  distinct FENs=259
  team 49/200  games=1077  distinct FENs=260
  team 50/200  games=1099  distinct FENs=265
  team 51/200  games=1121  distinct FENs=268
  team 52/200  games=1143  distinct FENs=271
  team 53/200  games=1165  distinct FENs=272
  team 54/200  games=1187  distinct FENs=274
  team 55/200  games=1209  distinct FENs=275
  team 56/200  games=1231  distinct FENs=277
  team 57/200  games=1253  distinct FENs=278
  team 58/200  games=1275  distinct FENs=278
  team 59/200  games=1297  distinct FENs=280
  team 60/200  games=1319  distinct FENs=280
  team 61/200  games=1341  distinct FENs=281
  team 62/200  games=1363  distinct FENs=281
  team 63/200  games=1385  distinct FENs=283
  team 64/200  games=1407  distinct FENs=284
  team 65/200  games=1429  distinct FENs=286
  team 66/200  games=1446  distinct FENs=287
  team 67/200  games=1468  distinct FENs=287
  team 68/200  games=1490  distinct FENs=287
  team 69/200  games=1512  distinct FENs=287
  team 70/200  games=1534  distinct FENs=288
  team 71/200  games=1551  distinct FENs=290
  team 72/200  games=1573  distinct FENs=290
  team 73/200  games=1595  distinct FENs=291
  team 74/200  games=1617  distinct FENs=292
  team 75/200  games=1629  distinct FENs=293
  team 76/200  games=1651  distinct FENs=293
  team 77/200  games=1673  distinct FENs=293
  team 78/200  games=1695  distinct FENs=294
  team 79/200  games=1717  distinct FENs=294
  team 80/200  games=1735  distinct FENs=294
  team 81/200  games=1757  distinct FENs=295
  team 82/200  games=1779  distinct FENs=295
  team 83/200  games=1801  distinct FENs=296
  team 84/200  games=1823  distinct FENs=296
  team 85/200  games=1845  distinct FENs=297
  team 86/200  games=1867  distinct FENs=298
  team 87/200  games=1889  distinct FENs=298
  team 88/200  games=1911  distinct FENs=298
  team 89/200  games=1923  distinct FENs=298
  team 90/200  games=1945  distinct FENs=299
  team 91/200  games=1967  distinct FENs=299
  team 92/200  games=1989  distinct FENs=300
  team 93/200  games=2011  distinct FENs=300
  team 94/200  games=2033  distinct FENs=300
  team 95/200  games=2055  distinct FENs=300
  team 96/200  games=2077  distinct FENs=301
  team 97/200  games=2099  distinct FENs=302
  team 98/200  games=2121  distinct FENs=302
  team 99/200  games=2143  distinct FENs=304
  team 100/200  games=2165  distinct FENs=304
  team 101/200  games=2187  distinct FENs=304
  team 102/200  games=2209  distinct FENs=304
  team 103/200  games=2231  distinct FENs=304
  team 104/200  games=2253  distinct FENs=304
  team 105/200  games=2263  distinct FENs=304
  team 106/200  games=2285  distinct FENs=304
  team 107/200  games=2307  distinct FENs=304
  team 108/200  games=2329  distinct FENs=304
  team 109/200  games=2351  distinct FENs=304
  team 110/200  games=2373  distinct FENs=304
  team 111/200  games=2386  distinct FENs=304
  team 112/200  games=2408  distinct FENs=304
  team 113/200  games=2430  distinct FENs=305
  team 114/200  games=2452  distinct FENs=305
  team 115/200  games=2474  distinct FENs=305
  team 116/200  games=2496  distinct FENs=306
  team 117/200  games=2518  distinct FENs=306
  team 118/200  games=2540  distinct FENs=306
  team 119/200  games=2562  distinct FENs=306
  team 120/200  games=2584  distinct FENs=306
  team 121/200  games=2606  distinct FENs=306
  team 122/200  games=2628  distinct FENs=306
  team 123/200  games=2632  distinct FENs=306
  team 124/200  games=2654  distinct FENs=306
  team 125/200  games=2676  distinct FENs=306
  team 126/200  games=2698  distinct FENs=306
  team 127/200  games=2720  distinct FENs=306
  team 128/200  games=2742  distinct FENs=306
  team 129/200  games=2764  distinct FENs=306
  team 130/200  games=2786  distinct FENs=306
  team 131/200  games=2808  distinct FENs=306
  team 132/200  games=2830  distinct FENs=306
  team 133/200  games=2840  distinct FENs=307
  team 134/200  games=2862  distinct FENs=307
  team 135/200  games=2884  distinct FENs=307
  team 136/200  games=2906  distinct FENs=307
  team 137/200  games=2928  distinct FENs=307
  team 138/200  games=2950  distinct FENs=307
  team 139/200  games=2969  distinct FENs=307
  team 140/200  games=2991  distinct FENs=307
  team 141/200  games=3013  distinct FENs=307
  team 142/200  games=3035  distinct FENs=307
  team 143/200  games=3057  distinct FENs=307
  team 144/200  games=3079  distinct FENs=307
  team 145/200  games=3101  distinct FENs=307
  team 146/200  games=3123  distinct FENs=307
  team 147/200  games=3145  distinct FENs=307
  team 148/200  games=3167  distinct FENs=307
  team 149/200  games=3189  distinct FENs=307
  team 150/200  games=3199  distinct FENs=307
  team 151/200  games=3221  distinct FENs=307
  team 152/200  games=3243  distinct FENs=307
  team 153/200  games=3265  distinct FENs=307
  team 154/200  games=3283  distinct FENs=308
  team 155/200  games=3305  distinct FENs=308
  team 156/200  games=3312  distinct FENs=308
  team 157/200  games=3334  distinct FENs=308
  team 158/200  games=3356  distinct FENs=308
  team 159/200  games=3378  distinct FENs=308
  team 160/200  games=3400  distinct FENs=308
  team 161/200  games=3403  distinct FENs=308
  team 162/200  games=3425  distinct FENs=308
  team 163/200  games=3447  distinct FENs=308
  team 164/200  games=3469  distinct FENs=308
  team 165/200  games=3491  distinct FENs=308
  team 166/200  games=3513  distinct FENs=308
  team 167/200  games=3535  distinct FENs=308
  team 168/200  games=3557  distinct FENs=308
  team 169/200  games=3579  distinct FENs=308
  team 170/200  games=3601  distinct FENs=308
  team 171/200  games=3623  distinct FENs=308
  team 172/200  games=3645  distinct FENs=308
  team 173/200  games=3667  distinct FENs=308
  team 174/200  games=3689  distinct FENs=308
