teams: 427
  team 1/427  games=30  distinct FENs=28
  team 2/427  games=60  distinct FENs=54
  team 3/427  games=90  distinct FENs=69
  team 4/427  games=120  distinct FENs=87
  team 5/427  games=150  distinct FENs=101
  team 6/427  games=180  distinct FENs=116
  team 7/427  games=210  distinct FENs=131
  team 8/427  games=240  distinct FENs=135
  team 9/427  games=270  distinct FENs=140
  team 10/427  games=300  distinct FENs=145
  team 11/427  games=330  distinct FENs=151
  team 12/427  games=360  distinct FENs=158
  team 13/427  games=390  distinct FENs=164
  team 14/427  games=420  distinct FENs=174
  team 15/427  games=450  distinct FENs=185
  team 16/427  games=480  distinct FENs=192
  team 17/427  games=510  distinct FENs=197
  team 18/427  games=540  distinct FENs=201
  team 19/427  games=570  distinct FENs=209
  team 20/427  games=600  distinct FENs=216
  team 21/427  games=630  distinct FENs=221
  team 22/427  games=660  distinct FENs=224
  team 23/427  games=690  distinct FENs=225
  team 24/427  games=720  distinct FENs=236
  team 25/427  games=750  distinct FENs=239
  team 26/427  games=780  distinct FENs=241
  team 27/427  games=810  distinct FENs=243
  team 28/427  games=840  distinct FENs=243
  team 29/427  games=870  distinct FENs=245
  team 30/427  games=900  distinct FENs=247
  team 31/427  games=930  distinct FENs=248
  team 32/427  games=960  distinct FENs=249
  team 33/427  games=990  distinct FENs=253
  team 34/427  games=1020  distinct FENs=259
  team 35/427  games=1050  distinct FENs=261
  team 36/427  games=1080  distinct FENs=262
  team 37/427  games=1110  distinct FENs=264
  team 38/427  games=1140  distinct FENs=269
  team 39/427  games=1168  distinct FENs=273
  team 40/427  games=1198  distinct FENs=275
  team 41/427  games=1228  distinct FENs=276
  team 42/427  games=1258  distinct FENs=278
  team 43/427  games=1288  distinct FENs=280
  team 44/427  games=1318  distinct FENs=282
  team 45/427  games=1348  distinct FENs=282
  team 46/427  games=1378  distinct FENs=283
  team 47/427  games=1408  distinct FENs=283
  team 48/427  games=1438  distinct FENs=286
  team 49/427  games=1468  distinct FENs=286
  team 50/427  games=1498  distinct FENs=287
  team 51/427  games=1528  distinct FENs=292
  team 52/427  games=1558  distinct FENs=296
  team 53/427  games=1588  distinct FENs=296
  team 54/427  games=1618  distinct FENs=296
  team 55/427  games=1648  distinct FENs=296
  team 56/427  games=1678  distinct FENs=298
  team 57/427  games=1708  distinct FENs=298
  team 58/427  games=1738  distinct FENs=298
  team 59/427  games=1768  distinct FENs=300
  team 60/427  games=1798  distinct FENs=300
  team 61/427  games=1828  distinct FENs=300
  team 62/427  games=1858  distinct FENs=301
  team 63/427  games=1888  distinct FENs=302
  team 64/427  games=1905  distinct FENs=302
  team 65/427  games=1935  distinct FENs=302
  team 66/427  games=1965  distinct FENs=303
  team 67/427  games=1995  distinct FENs=303
  team 68/427  games=2025  distinct FENs=304
  team 69/427  games=2050  distinct FENs=304
  team 70/427  games=2080  distinct FENs=304
  team 71/427  games=2098  distinct FENs=304
  team 72/427  games=2128  distinct FENs=304
  team 73/427  games=2158  distinct FENs=304
  team 74/427  games=2188  distinct FENs=304
  team 75/427  games=2218  distinct FENs=304
  team 76/427  games=2248  distinct FENs=304
  team 77/427  games=2278  distinct FENs=304
  team 78/427  games=2308  distinct FENs=304
  team 79/427  games=2338  distinct FENs=304
  team 80/427  games=2368  distinct FENs=304
  team 81/427  games=2380  distinct FENs=305
  team 82/427  games=2410  distinct FENs=305
  team 83/427  games=2440  distinct FENs=305
  team 84/427  games=2470  distinct FENs=305
  team 85/427  games=2500  distinct FENs=305
  team 86/427  games=2517  distinct FENs=305
  team 87/427  games=2547  distinct FENs=305
  team 88/427  games=2577  distinct FENs=305
  team 89/427  games=2607  distinct FENs=305
  team 90/427  games=2637  distinct FENs=305
  team 91/427  games=2667  distinct FENs=305
  team 92/427  games=2697  distinct FENs=305
  team 93/427  games=2727  distinct FENs=305
  team 94/427  games=2737  distinct FENs=305
  team 95/427  games=2767  distinct FENs=305
  team 96/427  games=2797  distinct FENs=305
  team 97/427  games=2827  distinct FENs=305
  team 98/427  games=2857  distinct FENs=305
  team 99/427  games=2887  distinct FENs=305
  team 100/427  games=2917  distinct FENs=305
  team 101/427  games=2947  distinct FENs=306
  team 102/427  games=2977  distinct FENs=306
  team 103/427  games=2989  distinct FENs=306
  team 104/427  games=3019  distinct FENs=306
  team 105/427  games=3049  distinct FENs=306
  team 106/427  games=3079  distinct FENs=307
  team 107/427  games=3109  distinct FENs=307
  team 108/427  games=3139  distinct FENs=307
  team 109/427  games=3169  distinct FENs=307
  team 110/427  games=3199  distinct FENs=307
  team 111/427  games=3202  distinct FENs=307
  team 112/427  games=3232  distinct FENs=307
  team 113/427  games=3259  distinct FENs=307
  team 114/427  games=3289  distinct FENs=307
  team 115/427  games=3319  distinct FENs=307
  team 116/427  games=3349  distinct FENs=307
  team 117/427  games=3362  distinct FENs=307
  team 118/427  games=3392  distinct FENs=307
  team 119/427  games=3422  distinct FENs=307
  team 120/427  games=3452  distinct FENs=307
  team 121/427  games=3482  distinct FENs=307
  team 122/427  games=3512  distinct FENs=307
  team 123/427  games=3522  distinct FENs=308
  team 124/427  games=3552  distinct FENs=308
  team 125/427  games=3582  distinct FENs=308
  team 126/427  games=3612  distinct FENs=308
  team 127/427  games=3622  distinct FENs=308
  team 128/427  games=3652  distinct FENs=308
  team 129/427  games=3682  distinct FENs=308
  team 130/427  games=3708  distinct FENs=308
  team 131/427  games=3738  distinct FENs=308
  team 132/427  games=3768  distinct FENs=308
  team 133/427  games=3798  distinct FENs=308
  team 134/427  games=3828  distinct FENs=308
  team 135/427  games=3858  distinct FENs=308
  team 136/427  games=3885  distinct FENs=308
  team 137/427  games=3915  distinct FENs=308
  team 138/427  games=3945  distinct FENs=308
  team 139/427  games=3975  distinct FENs=308
  team 140/427  games=4005  distinct FENs=308
  team 141/427  games=4035  distinct FENs=308
  team 142/427  games=4065  distinct FENs=308
  team 143/427  games=4095  distinct FENs=308
  team 144/427  games=4125  distinct FENs=308
  team 145/427  games=4155  distinct FENs=308
  team 146/427  games=4185  distinct FENs=308
  team 147/427  games=4190  distinct FENs=308
  team 148/427  games=4220  distinct FENs=308
  team 149/427  games=4250  distinct FENs=308
  team 150/427  games=4280  distinct FENs=308
  team 151/427  games=4310  distinct FENs=308
  team 152/427  games=4335  distinct FENs=308
  team 153/427  games=4365  distinct FENs=308
  team 154/427  games=4395  distinct FENs=308
  team 155/427  games=4425  distinct FENs=308
  team 156/427  games=4455  distinct FENs=308
  team 157/427  games=4485  distinct FENs=308
  team 158/427  games=4515  distinct FENs=308
  team 159/427  games=4519  distinct FENs=308
  team 160/427  games=4549  distinct FENs=308
  team 161/427  games=4579  distinct FENs=308
  team 162/427  games=4609  distinct FENs=308
  team 163/427  games=4628  distinct FENs=308
  team 164/427  games=4658  distinct FENs=308
  team 165/427  games=4662  distinct FENs=308
  team 166/427  games=4692  distinct FENs=308
  team 167/427  games=4722  distinct FENs=308
  team 168/427  games=4752  distinct FENs=308
  team 169/427  games=4782  distinct FENs=308
  team 170/427  games=4807  distinct FENs=308
  team 171/427  games=4837  distinct FENs=308
  team 172/427  games=4867  distinct FENs=308
  team 173/427  games=4897  distinct FENs=308
  team 174/427  games=4927  distinct FENs=308
  team 175/427  games=4957  distinct FENs=308
  team 176/427  games=4975  distinct FENs=308
  team 177/427  games=5005  distinct FENs=308
