gauntlet: agent@engine vs agent@checkpoints/v1 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   128s      mean=0.500 LLR=+0.00 [CONTINUE]
   2 games  +1 =1 -0   +191 Elo +/- 834   129s      mean=0.750 LLR=+0.09 [CONTINUE]
   3 games  +1 =2 -0   +120 Elo +/- 265   130s      mean=0.667 LLR=+0.10 [CONTINUE]
   4 games  +1 =3 -0   +89 Elo +/- 173   151s      mean=0.625 LLR=+0.12 [CONTINUE]
   5 games  +1 =4 -0   +70 Elo +/- 134   158s      mean=0.600 LLR=+0.14 [CONTINUE]
   6 games  +2 =4 -0   +120 Elo +/- 162   161s      mean=0.667 LLR=+0.20 [CONTINUE]
   7 games  +3 =4 -0   +159 Elo +/- 178   186s      mean=0.714 LLR=+0.27 [CONTINUE]
   8 games  +3 =5 -0   +137 Elo +/- 147   188s      mean=0.688 LLR=+0.29 [CONTINUE]
   9 games  +4 =5 -0   +166 Elo +/- 156   188s      mean=0.722 LLR=+0.36 [CONTINUE]
  10 games  +4 =6 -0   +147 Elo +/- 135   211s      mean=0.700 LLR=+0.37 [CONTINUE]
  11 games  +4 =7 -0   +132 Elo +/- 120   212s      mean=0.682 LLR=+0.39 [CONTINUE]
  12 games  +4 =8 -0   +120 Elo +/- 109   213s      mean=0.667 LLR=+0.40 [CONTINUE]
  13 games  +4 =9 -0   +110 Elo +/- 100   236s      mean=0.654 LLR=+0.42 [CONTINUE]
  14 games  +4 =10 -0   +102 Elo +/- 92   243s      mean=0.643 LLR=+0.43 [CONTINUE]
  15 games  +4 =11 -0   +95 Elo +/- 86   246s      mean=0.633 LLR=+0.45 [CONTINUE]
  16 games  +4 =12 -0   +89 Elo +/- 80   265s      mean=0.625 LLR=+0.47 [CONTINUE]
  17 games  +5 =12 -0   +105 Elo +/- 84   272s      mean=0.647 LLR=+0.53 [CONTINUE]
  18 games  +5 =13 -0   +99 Elo +/- 80   273s      mean=0.639 LLR=+0.55 [CONTINUE]
  19 games  +5 =14 -0   +94 Elo +/- 75   289s      mean=0.632 LLR=+0.57 [CONTINUE]
  20 games  +5 =15 -0   +89 Elo +/- 72   299s      mean=0.625 LLR=+0.59 [CONTINUE]
  21 games  +5 =16 -0   +84 Elo +/- 68   305s      mean=0.619 LLR=+0.60 [CONTINUE]
  22 games  +5 =17 -0   +80 Elo +/- 65   321s      mean=0.614 LLR=+0.62 [CONTINUE]
  23 games  +5 =18 -0   +77 Elo +/- 62   325s      mean=0.609 LLR=+0.64 [CONTINUE]
  24 games  +5 =19 -0   +73 Elo +/- 60   330s      mean=0.604 LLR=+0.66 [CONTINUE]
