gauntlet: agent@engine vs agent@checkpoints/repfix2 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=3000 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   125s      mean=0.500 LLR=+0.00 [CONTINUE]
   2 games  +0 =1 -1   -191 Elo +/- 834   3fold=1 (50%)   131s      mean=0.250 LLR=-0.09 [CONTINUE]
   3 games  +1 =1 -1   -0 Elo +/- 561   3fold=1 (33%)   133s      mean=0.500 LLR=-0.00 [CONTINUE]
   4 games  +1 =1 -2   -89 Elo +/- 911   3fold=1 (25%)   156s      mean=0.375 LLR=-0.04 [CONTINUE]
   5 games  +2 =1 -2   -0 Elo +/- 367   3fold=1 (20%)   159s      mean=0.500 LLR=-0.00 [CONTINUE]
   6 games  +2 =2 -2   -0 Elo +/- 271   3fold=1 (17%)   162s      mean=0.500 LLR=-0.00 [CONTINUE]
   7 games  +3 =2 -2   +50 Elo +/- 263   3fold=1 (14%)   184s      mean=0.571 LLR=+0.03 [CONTINUE]
   8 games  +4 =2 -2   +89 Elo +/- 262   3fold=1 (12%)   188s      mean=0.625 LLR=+0.06 [CONTINUE]
   9 games  +5 =2 -2   +120 Elo +/- 265   3fold=1 (11%)   196s      mean=0.667 LLR=+0.10 [CONTINUE]
  10 games  +5 =3 -2   +108 Elo +/- 216   3fold=2 (20%)   217s      mean=0.650 LLR=+0.11 [CONTINUE]
  11 games  +5 =3 -3   +64 Elo +/- 198   3fold=2 (18%)   217s      mean=0.591 LLR=+0.06 [CONTINUE]
  12 games  +5 =4 -3   +58 Elo +/- 177   3fold=2 (17%)   234s      mean=0.583 LLR=+0.07 [CONTINUE]
  13 games  +5 =5 -3   +54 Elo +/- 160   3fold=3 (23%)   239s      mean=0.577 LLR=+0.07 [CONTINUE]
  14 games  +5 =6 -3   +50 Elo +/- 147   3fold=4 (29%)   247s      mean=0.571 LLR=+0.08 [CONTINUE]
