openings: 400 positions from tests/openings_gen.fen
gauntlet: agent@engine vs agent@checkpoints/syzygy | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 6 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   147s      mean=0.500 LLR=+0.00 (game LLR=+0.00) [CONTINUE]
   2 games  +0 =1 -1   -191 Elo +/- 834   3fold=1 (50%)   148s      mean=0.250 LLR=+0.00 (game LLR=-0.09) [CONTINUE]
   3 games  +0 =2 -1   -120 Elo +/- 265   3fold=2 (67%)   149s      mean=0.333 LLR=+0.00 (game LLR=-0.11) [CONTINUE]
   4 games  +0 =2 -2   -191 Elo +/- 458   3fold=2 (50%)   150s      mean=0.250 LLR=+0.00 (game LLR=-0.19) [CONTINUE]
   5 games  +1 =2 -2   -70 Elo +/- 308   3fold=2 (40%)   151s      mean=0.400 LLR=+0.00 (game LLR=-0.04) [CONTINUE]
   6 games  +1 =3 -2   -58 Elo +/- 227   3fold=2 (33%)   163s      mean=0.417 LLR=+0.00 (game LLR=-0.05) [CONTINUE]
   7 games  +1 =4 -2   -50 Elo +/- 185   3fold=3 (43%)   174s      mean=0.429 LLR=+0.00 (game LLR=-0.06) [CONTINUE]
   8 games  +1 =5 -2   -44 Elo +/- 157   3fold=4 (50%)   176s      mean=0.438 LLR=+0.00 (game LLR=-0.07) [CONTINUE]
   9 games  +2 =5 -2   -0 Elo +/- 162   3fold=4 (44%)   179s      mean=0.500 LLR=-0.19 (game LLR=-0.01) [CONTINUE]
  10 games  +2 =6 -2   -0 Elo +/- 144   3fold=5 (50%)   181s      mean=0.500 LLR=+0.03 (game LLR=-0.01) [CONTINUE]
  11 games  +2 =7 -2   -0 Elo +/- 129   3fold=6 (55%)   182s      mean=0.500 LLR=+0.04 (game LLR=-0.01) [CONTINUE]
  12 games  +2 =8 -2   -0 Elo +/- 118   3fold=7 (58%)   192s      mean=0.500 LLR=-0.00 (game LLR=-0.01) [CONTINUE]
  13 games  +2 =9 -2   -0 Elo +/- 108   3fold=8 (62%)   205s      mean=0.500 LLR=-0.01 (game LLR=-0.01) [CONTINUE]
  14 games  +3 =9 -2   +25 Elo +/- 112   3fold=8 (57%)   205s      mean=0.536 LLR=-0.01 (game LLR=+0.05) [CONTINUE]
  15 games  +3 =10 -2   +23 Elo +/- 104   3fold=9 (60%)   210s      mean=0.533 LLR=-0.01 (game LLR=+0.06) [CONTINUE]
  16 games  +4 =10 -2   +44 Elo +/- 107   3fold=9 (56%)   212s      mean=0.562 LLR=-0.01 (game LLR=+0.12) [CONTINUE]
  17 games  +4 =11 -2   +41 Elo +/- 100   3fold=10 (59%)   213s      mean=0.559 LLR=-0.01 (game LLR=+0.12) [CONTINUE]
  18 games  +5 =11 -2   +58 Elo +/- 102   3fold=10 (56%)   224s      mean=0.583 LLR=-0.01 (game LLR=+0.18) [CONTINUE]
  19 games  +5 =12 -2   +55 Elo +/- 96   3fold=11 (58%)   233s      mean=0.579 LLR=-0.01 (game LLR=+0.19) [CONTINUE]
  20 games  +6 =12 -2   +70 Elo +/- 98   3fold=11 (55%)   236s      mean=0.600 LLR=+0.04 (game LLR=+0.24) [CONTINUE]
  21 games  +6 =13 -2   +67 Elo +/- 93   3fold=12 (57%)   239s      mean=0.595 LLR=+0.09 (game LLR=+0.25) [CONTINUE]
  22 games  +6 =14 -2   +64 Elo +/- 88   3fold=13 (59%)   241s      mean=0.591 LLR=+0.10 (game LLR=+0.26) [CONTINUE]
