gauntlet: agent@engine vs agent@checkpoints/repfix | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +1 =0 -0   +1600 Elo +/- 0   3fold=0 (0%)   132s      mean=1.000 LLR=+0.00 [CONTINUE]
   2 games  +1 =1 -0   +191 Elo +/- 834   3fold=1 (50%)   134s      mean=0.750 LLR=+0.09 [CONTINUE]
   3 games  +2 =1 -0   +280 Elo +/- 777   3fold=1 (33%)   135s      mean=0.833 LLR=+0.20 [CONTINUE]
   4 games  +2 =2 -0   +191 Elo +/- 458   3fold=1 (25%)   160s      mean=0.750 LLR=+0.18 [CONTINUE]
   5 games  +2 =2 -1   +70 Elo +/- 308   3fold=1 (20%)   163s      mean=0.600 LLR=+0.04 [CONTINUE]
   6 games  +2 =2 -2   -0 Elo +/- 271   3fold=1 (17%)   165s      mean=0.500 LLR=-0.00 [CONTINUE]
   7 games  +3 =2 -2   +50 Elo +/- 263   3fold=1 (14%)   196s      mean=0.571 LLR=+0.03 [CONTINUE]
   8 games  +4 =2 -2   +89 Elo +/- 262   3fold=1 (12%)   200s      mean=0.625 LLR=+0.06 [CONTINUE]
   9 games  +4 =3 -2   +79 Elo +/- 215   3fold=2 (22%)   201s      mean=0.611 LLR=+0.07 [CONTINUE]
  10 games  +4 =3 -3   +35 Elo +/- 201   3fold=2 (20%)   226s      mean=0.550 LLR=+0.03 [CONTINUE]
  11 games  +5 =3 -3   +64 Elo +/- 198   3fold=2 (18%)   231s      mean=0.591 LLR=+0.06 [CONTINUE]
  12 games  +6 =3 -3   +89 Elo +/- 196   3fold=2 (17%)   238s      mean=0.625 LLR=+0.10 [CONTINUE]
  13 games  +7 =3 -3   +110 Elo +/- 195   3fold=2 (15%)   254s      mean=0.654 LLR=+0.13 [CONTINUE]
  14 games  +8 =3 -3   +130 Elo +/- 194   3fold=2 (14%)   259s      mean=0.679 LLR=+0.17 [CONTINUE]
  15 games  +8 =4 -3   +120 Elo +/- 174   3fold=2 (13%)   269s      mean=0.667 LLR=+0.18 [CONTINUE]
  16 games  +9 =4 -3   +137 Elo +/- 173   3fold=2 (12%)   287s      mean=0.688 LLR=+0.22 [CONTINUE]
  17 games  +9 =4 -4   +105 Elo +/- 163   3fold=2 (12%)   289s      mean=0.647 LLR=+0.16 [CONTINUE]
  18 games  +9 =5 -4   +99 Elo +/- 151   3fold=3 (17%)   297s      mean=0.639 LLR=+0.17 [CONTINUE]
  19 games  +9 =6 -4   +94 Elo +/- 140   3fold=4 (21%)   313s      mean=0.632 LLR=+0.18 [CONTINUE]
  20 games  +9 =6 -5   +70 Elo +/- 136   3fold=4 (20%)   321s      mean=0.600 LLR=+0.13 [CONTINUE]
  21 games  +10 =6 -5   +84 Elo +/- 135   3fold=4 (19%)   331s      mean=0.619 LLR=+0.17 [CONTINUE]
  22 games  +10 =7 -5   +80 Elo +/- 128   3fold=5 (23%)   343s      mean=0.614 LLR=+0.17 [CONTINUE]
  23 games  +10 =8 -5   +77 Elo +/- 121   3fold=6 (26%)   348s      mean=0.609 LLR=+0.18 [CONTINUE]
  24 games  +10 =9 -5   +73 Elo +/- 115   3fold=7 (29%)   357s      mean=0.604 LLR=+0.19 [CONTINUE]
  25 games  +10 =10 -5   +70 Elo +/- 110   3fold=8 (32%)   371s      mean=0.600 LLR=+0.19 [CONTINUE]
  26 games  +11 =10 -5   +82 Elo +/- 110   3fold=8 (31%)   382s      mean=0.615 LLR=+0.23 [CONTINUE]
  27 games  +11 =11 -5   +79 Elo +/- 105   3fold=8 (30%)   393s      mean=0.611 LLR=+0.24 [CONTINUE]
  28 games  +11 =11 -6   +63 Elo +/- 104   3fold=8 (29%)   400s      mean=0.589 LLR=+0.19 [CONTINUE]
  29 games  +11 =11 -7   +48 Elo +/- 103   3fold=8 (28%)   414s      mean=0.569 LLR=+0.14 [CONTINUE]
  30 games  +12 =11 -7   +58 Elo +/- 103   3fold=8 (27%)   421s      mean=0.583 LLR=+0.18 [CONTINUE]
  31 games  +13 =11 -7   +68 Elo +/- 102   3fold=8 (26%)   428s      mean=0.597 LLR=+0.21 [CONTINUE]
  32 games  +13 =12 -7   +66 Elo +/- 99   3fold=8 (25%)   456s      mean=0.594 LLR=+0.22 [CONTINUE]
  33 games  +14 =12 -7   +75 Elo +/- 98   3fold=8 (24%)   458s      mean=0.606 LLR=+0.26 [CONTINUE]
  34 games  +14 =12 -8   +62 Elo +/- 97   3fold=8 (24%)   460s      mean=0.588 LLR=+0.21 [CONTINUE]
  35 games  +14 =13 -8   +60 Elo +/- 94   3fold=9 (26%)   485s      mean=0.586 LLR=+0.22 [CONTINUE]
  36 games  +14 =13 -9   +49 Elo +/- 93   3fold=9 (25%)   489s      mean=0.569 LLR=+0.17 [CONTINUE]
  37 games  +14 =14 -9   +47 Elo +/- 91   3fold=9 (24%)   495s      mean=0.568 LLR=+0.17 [CONTINUE]
  38 games  +14 =15 -9   +46 Elo +/- 88   3fold=10 (26%)   511s      mean=0.566 LLR=+0.18 [CONTINUE]
  39 games  +14 =16 -9   +45 Elo +/- 86   3fold=11 (28%)   517s      mean=0.564 LLR=+0.18 [CONTINUE]
  40 games  +15 =16 -9   +53 Elo +/- 86   3fold=11 (28%)   524s      mean=0.575 LLR=+0.22 [CONTINUE]
  41 games  +15 =16 -10   +43 Elo +/- 85   3fold=11 (27%)   540s      mean=0.561 LLR=+0.18 [CONTINUE]
  42 games  +15 =17 -10   +42 Elo +/- 83   3fold=11 (26%)   553s      mean=0.560 LLR=+0.18 [CONTINUE]
  43 games  +16 =17 -10   +49 Elo +/- 83   3fold=11 (26%)   562s      mean=0.570 LLR=+0.22 [CONTINUE]
  44 games  +16 =18 -10   +48 Elo +/- 81   3fold=12 (27%)   569s      mean=0.568 LLR=+0.22 [CONTINUE]
  45 games  +16 =19 -10   +47 Elo +/- 79   3fold=13 (29%)   577s      mean=0.567 LLR=+0.23 [CONTINUE]
  46 games  +16 =20 -10   +46 Elo +/- 77   3fold=14 (30%)   596s      mean=0.565 LLR=+0.23 [CONTINUE]
  47 games  +16 =21 -10   +45 Elo +/- 75   3fold=15 (32%)   596s      mean=0.564 LLR=+0.23 [CONTINUE]
  48 games  +16 =22 -10   +44 Elo +/- 74   3fold=16 (33%)   605s      mean=0.562 LLR=+0.24 [CONTINUE]
  49 games  +16 =23 -10   +43 Elo +/- 72   3fold=17 (35%)   629s      mean=0.561 LLR=+0.24 [CONTINUE]
  50 games  +17 =23 -10   +49 Elo +/- 72   3fold=17 (34%)   633s      mean=0.570 LLR=+0.28 [CONTINUE]
  51 games  +18 =23 -10   +55 Elo +/- 72   3fold=17 (33%)   635s      mean=0.578 LLR=+0.33 [CONTINUE]
  52 games  +19 =23 -10   +61 Elo +/- 72   3fold=17 (33%)   658s      mean=0.587 LLR=+0.37 [CONTINUE]
  53 games  +19 =24 -10   +60 Elo +/- 70   3fold=18 (34%)   664s      mean=0.585 LLR=+0.37 [CONTINUE]
  54 games  +19 =24 -11   +52 Elo +/- 70   3fold=18 (33%)   666s      mean=0.574 LLR=+0.32 [CONTINUE]
