gauntlet: agent@engine vs agent@checkpoints/clockcap | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   152s      mean=0.500 LLR=+0.00 [CONTINUE]
   2 games  +1 =1 -0   +191 Elo +/- 834   3fold=1 (50%)   154s      mean=0.750 LLR=+0.09 [CONTINUE]
   3 games  +1 =1 -1   -0 Elo +/- 561   3fold=1 (33%)   159s      mean=0.500 LLR=-0.00 [CONTINUE]
   4 games  +1 =1 -2   -89 Elo +/- 911   3fold=1 (25%)   183s      mean=0.375 LLR=-0.04 [CONTINUE]
   5 games  +1 =1 -3   -147 Elo +/- 854   3fold=1 (20%)   193s      mean=0.300 LLR=-0.07 [CONTINUE]
   6 games  +1 =2 -3   -120 Elo +/- 335   3fold=2 (33%)   207s      mean=0.333 LLR=-0.09 [CONTINUE]
   7 games  +2 =2 -3   -50 Elo +/- 263   3fold=2 (29%)   213s      mean=0.429 LLR=-0.04 [CONTINUE]
   8 games  +3 =2 -3   -0 Elo +/- 241   3fold=2 (25%)   225s      mean=0.500 LLR=-0.00 [CONTINUE]
   9 games  +3 =3 -3   -0 Elo +/- 207   3fold=3 (33%)   238s      mean=0.500 LLR=-0.00 [CONTINUE]
  10 games  +3 =4 -3   -0 Elo +/- 182   3fold=3 (30%)   250s      mean=0.500 LLR=-0.00 [CONTINUE]
  11 games  +3 =5 -3   -0 Elo +/- 163   3fold=4 (36%)   256s      mean=0.500 LLR=-0.01 [CONTINUE]
  12 games  +4 =5 -3   +29 Elo +/- 161   3fold=4 (33%)   270s      mean=0.542 LLR=+0.03 [CONTINUE]
  13 games  +4 =6 -3   +27 Elo +/- 147   3fold=5 (38%)   275s      mean=0.538 LLR=+0.04 [CONTINUE]
  14 games  +4 =7 -3   +25 Elo +/- 135   3fold=6 (43%)   278s      mean=0.536 LLR=+0.04 [CONTINUE]
  15 games  +5 =7 -3   +47 Elo +/- 135   3fold=6 (40%)   301s      mean=0.567 LLR=+0.08 [CONTINUE]
  16 games  +5 =7 -4   +22 Elo +/- 134   3fold=6 (38%)   302s      mean=0.531 LLR=+0.03 [CONTINUE]
  17 games  +5 =7 -5   -0 Elo +/- 133   3fold=6 (35%)   310s      mean=0.500 LLR=-0.01 [CONTINUE]
  18 games  +5 =8 -5   -0 Elo +/- 125   3fold=7 (39%)   328s      mean=0.500 LLR=-0.01 [CONTINUE]
  19 games  +6 =8 -5   +18 Elo +/- 124   3fold=7 (37%)   332s      mean=0.526 LLR=+0.03 [CONTINUE]
  20 games  +6 =9 -5   +17 Elo +/- 117   3fold=7 (35%)   350s      mean=0.525 LLR=+0.03 [CONTINUE]
  21 games  +6 =10 -5   +17 Elo +/- 111   3fold=8 (38%)   355s      mean=0.524 LLR=+0.03 [CONTINUE]
  22 games  +6 =11 -5   +16 Elo +/- 106   3fold=9 (41%)   360s      mean=0.523 LLR=+0.03 [CONTINUE]
  23 games  +6 =12 -5   +15 Elo +/- 101   3fold=10 (43%)   378s      mean=0.522 LLR=+0.04 [CONTINUE]
  24 games  +6 =12 -6   -0 Elo +/- 101   3fold=10 (42%)   389s      mean=0.500 LLR=-0.01 [CONTINUE]
  25 games  +6 =13 -6   -0 Elo +/- 97   3fold=10 (40%)   391s      mean=0.500 LLR=-0.01 [CONTINUE]
  26 games  +6 =13 -7   -13 Elo +/- 97   3fold=10 (38%)   410s      mean=0.481 LLR=-0.06 [CONTINUE]
  27 games  +6 =14 -7   -13 Elo +/- 93   3fold=11 (41%)   412s      mean=0.481 LLR=-0.06 [CONTINUE]
  28 games  +6 =14 -8   -25 Elo +/- 93   3fold=11 (39%)   421s      mean=0.464 LLR=-0.11 [CONTINUE]
  29 games  +6 =14 -9   -36 Elo +/- 93   3fold=11 (38%)   448s      mean=0.448 LLR=-0.15 [CONTINUE]
  30 games  +6 =15 -9   -35 Elo +/- 90   3fold=11 (37%)   448s      mean=0.450 LLR=-0.16 [CONTINUE]
  31 games  +6 =16 -9   -34 Elo +/- 87   3fold=12 (39%)   456s      mean=0.452 LLR=-0.16 [CONTINUE]
  32 games  +6 =16 -10   -44 Elo +/- 87   3fold=12 (38%)   477s      mean=0.438 LLR=-0.21 [CONTINUE]
  33 games  +6 =16 -11   -53 Elo +/- 87   3fold=12 (36%)   478s      mean=0.424 LLR=-0.25 [CONTINUE]
  34 games  +7 =16 -11   -41 Elo +/- 87   3fold=12 (35%)   487s      mean=0.441 LLR=-0.20 [CONTINUE]
  35 games  +8 =16 -11   -30 Elo +/- 87   3fold=12 (34%)   506s      mean=0.457 LLR=-0.15 [CONTINUE]
  36 games  +9 =16 -11   -19 Elo +/- 86   3fold=12 (33%)   511s      mean=0.472 LLR=-0.10 [CONTINUE]
  37 games  +9 =16 -12   -28 Elo +/- 86   3fold=12 (32%)   516s      mean=0.459 LLR=-0.14 [CONTINUE]
  38 games  +9 =16 -13   -37 Elo +/- 86   3fold=12 (32%)   537s      mean=0.447 LLR=-0.18 [CONTINUE]
  39 games  +10 =16 -13   -27 Elo +/- 86   3fold=12 (31%)   538s      mean=0.462 LLR=-0.14 [CONTINUE]
  40 games  +11 =16 -13   -17 Elo +/- 85   3fold=12 (30%)   546s      mean=0.475 LLR=-0.09 [CONTINUE]
