gauntlet: agent@engine vs agent@checkpoints/clockcap | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   131s      mean=0.500 LLR=+0.00 [CONTINUE]
   2 games  +1 =1 -0   +191 Elo +/- 834   3fold=1 (50%)   139s      mean=0.750 LLR=+0.09 [CONTINUE]
   3 games  +1 =2 -0   +120 Elo +/- 265   3fold=2 (67%)   142s      mean=0.667 LLR=+0.10 [CONTINUE]
   4 games  +1 =2 -1   -0 Elo +/- 297   3fold=2 (50%)   161s      mean=0.500 LLR=-0.00 [CONTINUE]
   5 games  +2 =2 -1   +70 Elo +/- 308   3fold=2 (40%)   168s      mean=0.600 LLR=+0.04 [CONTINUE]
   6 games  +2 =3 -1   +58 Elo +/- 227   3fold=3 (50%)   182s      mean=0.583 LLR=+0.05 [CONTINUE]
   7 games  +2 =4 -1   +50 Elo +/- 185   3fold=4 (57%)   190s      mean=0.571 LLR=+0.05 [CONTINUE]
   8 games  +3 =4 -1   +89 Elo +/- 190   3fold=4 (50%)   205s      mean=0.625 LLR=+0.10 [CONTINUE]
   9 games  +3 =5 -1   +79 Elo +/- 163   3fold=5 (56%)   212s      mean=0.611 LLR=+0.11 [CONTINUE]
  10 games  +3 =6 -1   +70 Elo +/- 143   3fold=6 (60%)   219s      mean=0.600 LLR=+0.12 [CONTINUE]
  11 games  +3 =6 -2   +32 Elo +/- 147   3fold=6 (55%)   233s      mean=0.545 LLR=+0.05 [CONTINUE]
  12 games  +4 =6 -2   +58 Elo +/- 148   3fold=6 (50%)   241s      mean=0.583 LLR=+0.09 [CONTINUE]
  13 games  +5 =6 -2   +82 Elo +/- 149   3fold=6 (46%)   249s      mean=0.615 LLR=+0.14 [CONTINUE]
  14 games  +6 =6 -2   +102 Elo +/- 149   3fold=6 (43%)   263s      mean=0.643 LLR=+0.18 [CONTINUE]
  15 games  +6 =6 -3   +70 Elo +/- 146   3fold=6 (40%)   273s      mean=0.600 LLR=+0.12 [CONTINUE]
  16 games  +6 =7 -3   +66 Elo +/- 135   3fold=6 (38%)   289s      mean=0.594 LLR=+0.12 [CONTINUE]
  17 games  +6 =8 -3   +62 Elo +/- 126   3fold=7 (41%)   297s      mean=0.588 LLR=+0.13 [CONTINUE]
  18 games  +6 =9 -3   +58 Elo +/- 118   3fold=8 (44%)   301s      mean=0.583 LLR=+0.14 [CONTINUE]
  19 games  +6 =10 -3   +55 Elo +/- 111   3fold=8 (42%)   328s      mean=0.579 LLR=+0.14 [CONTINUE]
  20 games  +6 =11 -3   +53 Elo +/- 105   3fold=9 (45%)   335s      mean=0.575 LLR=+0.15 [CONTINUE]
  21 games  +6 =12 -3   +50 Elo +/- 100   3fold=9 (43%)   339s      mean=0.571 LLR=+0.16 [CONTINUE]
  22 games  +6 =12 -4   +32 Elo +/- 101   3fold=9 (41%)   358s      mean=0.545 LLR=+0.09 [CONTINUE]
  23 games  +6 =13 -4   +30 Elo +/- 96   3fold=10 (43%)   364s      mean=0.543 LLR=+0.09 [CONTINUE]
